,Away,Away_PTS,Home,Home_PTS,Margin,Away_SRS,Home_SRS,Away_3P,Home_3P,Away_3P%,Home_3P%,Away_2P,Home_2P,Away_2P%,Home_2P%,Away_FT,Home_FT,Away_FT%,Home_FT%,Away_ORB,Home_ORB,Away_DRB,Home_DRB,Away_AST,Home_AST,Away_STL,Home_STL,Away_BLK,Home_BLK,Away_TOV,Home_TOV,Away_PF,Home_PF,Away_PPG,Home_PPG,Away_O3P,Home_O3P,Away_O3P%,Home_O3P%,Away_O2P,Home_O2P,Away_O2P%,Home_O2P%,Away_OFT,Home_OFT,Away_OFT%,Home_OFT%,Away_OORB,Home_OORB,Away_ODRB,Home_ODRB,Away_OAST,Home_OAST,Away_OSTL,Home_OSTL,Away_OBLK,Home_OBLK,Away_OTOV,Home_OTOV,Away_OPF,Home_OPF,Away_OPTS,Home_OPTS,Away_MOV,Home_MOV,Away_ORtg,Home_ORtg,Away_DRtg,Home_DRtg,Away_NRtg,Home_NRtg,Away_Pace,Home_Pace,Away_FTr,Home_FTr,Away_3PAr,Home_3PAr,Away_TS%,Home_TS%,Away_eFG%,Home_eFG%,Away_TOV%,Home_TOV%,Away_ORB%,Home_ORB%,Away_FT/FGA,Home_FT/FGA,Away_OeFG%,Home_OeFG%,Away_OTOV%,Home_OTOV%,Away_DRB%,Home_DRB%,Away_OFT/FGA,Home_OFT/FGA
0,New Orleans Pelicans,122,Toronto Raptors,130,-8,0.3,5.88,14.0,13.8,0.37200000000000005,0.371,28.6,26.8,0.525,0.521,16.9,18.1,0.7290000000000001,0.8,11.2,9.7,35.8,35.5,27.0,25.4,7.6,8.8,5.1,4.9,16.2,14.4,21.0,21.5,116.2,113.0,12.1,13.0,0.355,0.337,30.9,25.0,0.529,0.499,19.1,17.7,0.782,0.768,10.0,11.2,35.1,35.1,24.6,25.6,8.6,7.0,4.8,5.3,14.5,16.8,20.6,20.0,117.0,106.5,-0.83,6.45,110.8,111.6,111.6,105.2,-0.8,6.4,103.9,100.6,0.252,0.256,0.408,0.418,0.5670000000000001,0.574,0.5379999999999999,0.536,13.7,12.8,24.3,21.6,0.183,0.205,0.531,0.502,12.3,14.6,78.1,76.1,0.207,0.2
1,Los Angeles Lakers,102,Los Angeles Clippers,112,-10,7.75,6.74,11.2,12.2,0.355,0.366,31.8,29.5,0.556,0.522,17.3,20.8,0.73,0.792,10.6,11.0,35.5,37.0,25.9,23.8,8.6,7.1,6.8,5.0,15.1,14.8,20.6,22.0,114.3,116.2,11.3,12.0,0.342,0.341,27.7,27.4,0.506,0.498,17.7,18.9,0.774,0.762,9.8,10.9,32.5,34.6,23.2,23.6,8.2,7.9,3.7,4.9,15.7,14.2,21.4,22.8,106.9,109.7,7.41,6.52,113.0,113.6,105.6,107.2,7.4,6.4,100.9,101.8,0.268,0.293,0.355,0.37,0.5770000000000001,0.574,0.5479999999999999,0.532,13.2,12.7,24.6,24.0,0.196,0.23199999999999998,0.509,0.503,13.8,12.3,78.4,77.3,0.20199999999999999,0.21
2,Chicago Bulls,125,Charlotte Hornets,126,-1,-3.81,-6.88,12.2,12.1,0.348,0.35200000000000004,27.4,25.2,0.511,0.489,15.5,16.2,0.755,0.748,10.5,11.0,31.4,31.8,23.2,23.8,10.0,6.6,4.1,4.1,15.5,14.6,21.8,18.8,106.8,102.9,11.2,12.4,0.353,0.35200000000000004,28.3,29.3,0.557,0.5579999999999999,19.7,14.0,0.759,0.758,10.2,10.9,35.4,35.0,25.4,26.6,8.2,8.0,5.9,5.0,18.3,14.4,19.2,20.6,109.9,109.6,-3.08,-6.75,106.7,106.3,109.8,113.3,-3.1,-7.0,99.7,95.8,0.231,0.252,0.396,0.39899999999999997,0.547,0.539,0.515,0.504,13.7,13.3,22.8,23.9,0.175,0.188,0.546,0.546,16.3,13.1,75.6,74.4,0.239,0.159
3,Detroit Pistons,119,Indiana Pacers,110,9,-4.22,1.61,12.0,10.0,0.36700000000000005,0.363,27.3,32.2,0.515,0.529,16.6,15.1,0.743,0.787,9.8,8.8,32.0,34.0,24.1,25.9,7.4,7.2,4.5,5.1,15.3,13.1,19.7,19.6,107.2,109.3,10.7,11.4,0.361,0.345,31.3,28.0,0.541,0.51,16.2,17.0,0.777,0.789,10.1,10.1,33.4,34.6,24.6,23.2,8.2,6.8,5.6,4.5,14.0,14.4,19.8,18.6,110.8,107.4,-3.56,1.94,109.0,110.3,112.7,108.3,-3.7,2.0,97.6,98.5,0.261,0.217,0.381,0.311,0.561,0.565,0.529,0.5329999999999999,13.8,11.9,22.6,20.3,0.19399999999999998,0.17,0.541,0.513,12.7,12.8,75.9,77.1,0.18600000000000003,0.193
4,Cleveland Cavaliers,85,Orlando Magic,94,-9,-7.57,-0.85,11.2,10.9,0.35100000000000003,0.341,29.1,28.3,0.519,0.498,15.1,17.0,0.758,0.77,10.8,10.4,33.4,34.2,23.1,24.0,6.9,8.4,3.2,5.7,16.5,12.6,18.3,17.6,106.9,106.4,12.4,12.4,0.375,0.37,31.5,27.7,0.5579999999999999,0.522,14.7,14.8,0.767,0.772,9.7,9.1,33.1,36.0,26.1,24.5,9.4,7.0,6.3,4.8,13.0,14.8,19.6,19.2,114.8,107.3,-7.89,-0.97,107.5,108.0,115.4,109.0,-7.9,-1.0,98.7,98.3,0.22699999999999998,0.248,0.36200000000000004,0.36,0.5529999999999999,0.54,0.522,0.503,14.6,11.4,24.6,22.4,0.172,0.191,0.56,0.535,11.7,13.5,77.4,79.0,0.16399999999999998,0.17
5,Minnesota Timberwolves,127,Brooklyn Nets,126,1,-3.78,-1.18,13.3,12.9,0.336,0.34,27.1,27.1,0.521,0.519,19.1,18.0,0.753,0.7440000000000001,10.5,10.8,34.3,37.6,23.8,24.0,8.7,6.5,5.7,4.6,15.3,15.5,21.4,20.7,113.3,110.8,11.6,12.1,0.363,0.35,31.6,29.1,0.539,0.496,19.7,16.9,0.7829999999999999,0.763,10.1,10.8,37.2,35.2,24.4,22.4,7.8,7.8,5.5,5.3,15.5,12.6,21.6,20.9,117.5,111.4,-4.3,-0.64,108.1,108.1,112.2,108.7,-4.1,-0.6,103.4,101.2,0.27699999999999997,0.268,0.433,0.42,0.551,0.55,0.514,0.515,13.0,13.4,22.1,23.5,0.209,0.19899999999999998,0.541,0.507,13.2,10.9,77.2,77.8,0.218,0.18100000000000002
6,Memphis Grizzlies,101,Miami Heat,120,-19,-1.05,2.58,10.9,13.4,0.35200000000000004,0.38299999999999995,31.8,26.3,0.531,0.53,16.2,19.5,0.7609999999999999,0.778,10.4,8.5,36.3,36.0,27.0,26.0,8.0,7.4,5.6,4.5,15.3,14.9,20.8,20.4,112.6,112.2,12.8,13.1,0.363,0.34600000000000003,28.0,25.7,0.505,0.525,19.3,18.1,0.7859999999999999,0.7759999999999999,10.5,9.2,34.5,33.0,24.8,24.7,7.9,7.5,5.3,4.2,14.6,13.7,19.7,21.5,113.7,108.9,-1.08,3.23,109.4,112.7,110.4,109.4,-1.0,3.3,102.8,98.1,0.23399999999999999,0.298,0.341,0.413,0.561,0.5870000000000001,0.53,0.5489999999999999,13.2,13.5,23.2,20.5,0.17800000000000002,0.231,0.52,0.522,12.6,12.3,77.6,79.7,0.213,0.20800000000000002
7,Boston Celtics,93,Philadelphia 76ers,107,-14,5.69,2.22,12.4,11.4,0.363,0.36200000000000004,28.8,29.4,0.519,0.523,18.3,16.6,0.8009999999999999,0.752,10.7,10.4,35.3,35.1,22.8,25.9,8.3,8.2,5.6,5.4,13.6,14.2,21.4,20.6,113.0,109.6,11.8,10.2,0.342,0.354,26.5,29.3,0.507,0.518,18.4,18.0,0.7609999999999999,0.742,10.2,8.6,34.0,33.3,22.2,22.7,7.0,7.0,5.6,3.9,15.3,14.0,20.6,20.3,106.8,107.4,6.17,2.22,112.9,110.4,106.8,108.2,6.1,2.2,99.3,98.8,0.255,0.252,0.382,0.36,0.5670000000000001,0.562,0.529,0.53,12.0,12.7,23.9,23.7,0.204,0.18899999999999997,0.51,0.522,13.6,12.7,77.5,80.4,0.212,0.21100000000000002
8,Washington Wizards,100,Dallas Mavericks,108,-8,-4.86,5.84,12.3,15.3,0.37200000000000005,0.369,29.6,26.3,0.511,0.542,19.5,17.9,0.787,0.773,10.1,10.6,31.6,36.4,25.3,24.5,8.1,6.3,4.3,5.0,14.1,12.8,22.6,19.0,115.6,116.4,12.5,11.8,0.37799999999999995,0.345,30.9,29.6,0.557,0.52,20.3,15.6,0.772,0.757,10.6,10.6,35.7,34.7,25.3,23.8,7.5,7.1,5.0,4.0,16.3,12.2,22.4,20.8,119.7,110.3,-4.05,6.04,111.9,116.7,115.8,110.6,-3.9,6.1,102.8,99.1,0.272,0.257,0.364,0.461,0.568,0.581,0.528,0.5479999999999999,12.1,11.3,22.0,23.5,0.214,0.198,0.56,0.519,14.0,10.9,74.9,77.4,0.23,0.172
9,New York Knicks,111,San Antonio Spurs,120,-9,-6.55,-1.19,9.6,10.7,0.337,0.371,30.4,31.4,0.499,0.517,16.3,18.4,0.6940000000000001,0.809,12.0,8.8,34.5,35.6,22.1,24.5,7.6,7.2,4.7,5.5,14.3,12.3,22.2,19.2,105.8,113.2,13.3,13.1,0.381,0.376,26.6,29.0,0.52,0.528,19.2,17.4,0.7490000000000001,0.77,9.6,9.4,34.6,36.3,24.3,25.7,7.2,6.7,5.0,4.4,13.7,13.0,19.8,19.7,112.3,114.9,-6.45,-1.76,106.5,111.9,113.0,113.7,-6.5,-1.8,98.6,100.0,0.263,0.254,0.318,0.321,0.531,0.569,0.501,0.529,12.6,11.0,25.8,19.5,0.182,0.20600000000000002,0.541,0.542,12.4,11.5,78.3,79.2,0.22399999999999998,0.19399999999999998
