,Away,Away_PTS,Home,Home_PTS,Margin,Away_SRS,Home_SRS
0,New Orleans Pelicans,122,Toronto Raptors,130,-8,0.3,5.88
1,Los Angeles Lakers,102,Los Angeles Clippers,112,-10,7.75,6.74
2,Chicago Bulls,125,Charlotte Hornets,126,-1,-3.81,-6.88
3,Detroit Pistons,119,Indiana Pacers,110,9,-4.22,1.61
4,Cleveland Cavaliers,85,Orlando Magic,94,-9,-7.57,-0.85
5,Minnesota Timberwolves,127,Brooklyn Nets,126,1,-3.78,-1.18
6,Memphis Grizzlies,101,Miami Heat,120,-19,-1.05,2.58
7,Boston Celtics,93,Philadelphia 76ers,107,-14,5.69,2.22
8,Washington Wizards,100,Dallas Mavericks,108,-8,-4.86,5.84
9,New York Knicks,111,San Antonio Spurs,120,-9,-6.55,-1.19
10,Oklahoma City Thunder,95,Utah Jazz,100,-5,2.79,3.2
11,Sacramento Kings,95,Phoenix Suns,124,-29,-1.44,-1.04
12,Denver Nuggets,108,Portland Trail Blazers,100,8,3.02,-1.11
13,Atlanta Hawks,117,Detroit Pistons,100,17,-7.57,-4.22
14,Milwaukee Bucks,117,Houston Rockets,111,6,10.44,3.78
15,Los Angeles Clippers,141,Golden State Warriors,122,19,6.74,-7.92
16,Toronto Raptors,106,Boston Celtics,112,-6,5.88,5.69
17,Minnesota Timberwolves,121,Charlotte Hornets,99,22,-3.78,-6.88
18,New York Knicks,109,Brooklyn Nets,113,-4,-6.55,-1.18
19,Chicago Bulls,110,Memphis Grizzlies,102,8,-3.81,-1.05
20,Dallas Mavericks,123,New Orleans Pelicans,116,7,5.84,0.3
21,Washington Wizards,97,Oklahoma City Thunder,85,12,-4.86,2.79
22,Phoenix Suns,107,Denver Nuggets,108,-1,-1.04,3.02
23,Portland Trail Blazers,122,Sacramento Kings,112,10,-1.11,-1.44
24,Utah Jazz,86,Los Angeles Lakers,95,-9,3.2,7.75
25,Miami Heat,131,Milwaukee Bucks,126,5,2.58,10.44
