,SRS,Name
0,10.44,Milwaukee Bucks
1,5.88,Toronto Raptors
2,5.69,Boston Celtics
3,2.58,Miami Heat
4,1.61,Indiana Pacers
5,2.22,Philadelphia 76ers
6,-1.18,Brooklyn Nets
7,-0.85,Orlando Magic
8,-4.86,Washington Wizards
9,-6.88,Charlotte Hornets 
10,-3.81,Chicago Bulls 
11,-6.55,New York Knicks 
12,-4.22,Detroit Pistons 
13,-7.57,Atlanta Hawks 
14,-7.57,Cleveland Cavaliers 
0,7.75,Los Angeles Lakers
1,6.74,Los Angeles Clippers
2,3.02,Denver Nuggets
3,3.20,Utah Jazz
4,2.79,Oklahoma City Thunder
5,3.78,Houston Rockets
6,5.84,Dallas Mavericks
7,-1.05,Memphis Grizzlies
8,-1.11,Portland Trail Blazers
9,0.30,New Orleans Pelicans 
10,-1.44,Sacramento Kings 
11,-1.19,San Antonio Spurs 
12,-1.04,Phoenix Suns 
13,-3.78,Minnesota Timberwolves 
14,-7.92,Golden State Warriors 
